user_id,nama,gender,usia,kota,pekerjaan,pendapatan_bulanan,saldo_saat_ini,tujuan,usia_target_tujuan,persona
U0022,Nasabah0022,pria,31,Jakarta,Freelancer,10000000,18037347,Dana pensiun,37,Penabung Disiplin
U0023,Nasabah0023,wanita,27,Medan,Guru,8000000,21112224,Liburan,50,Berkembang
U0024,Nasabah0024,pria,20,Makassar,Freelancer,6000000,6315588,Liburan,33,Berkembang
U0025,Nasabah0025,wanita,31,Jakarta,Guru,8000000,9114908,Dana pensiun,37,Konsumtif
U0026,Nasabah0026,pria,32,Makassar,Karyawan swasta,4500000,8330837,Beli mobil,38,Penabung Disiplin
U0027,Nasabah0027,wanita,30,Medan,Wiraswasta,10000000,18448569,Beli rumah,47,Berkembang
U0028,Nasabah0028,pria,31,Yogyakarta,Karyawan swasta,4500000,8472181,Menikah,39,Berkembang
U0029,Nasabah0029,wanita,24,Makassar,Guru,6000000,9669320,Menikah,33,Konsumtif
U0030,Nasabah0030,pria,45,Jakarta,Karyawan swasta,4000000,4623470,Dana pendidikan anak,65,Berkembang
U0031,Nasabah0031,wanita,31,Yogyakarta,Guru,4500000,3210537,Dana pendidikan anak,54,Defisit
U0032,Nasabah0032,pria,31,Jakarta,Karyawan BUMN,8000000,12606988,Menikah,55,Konsumtif
U0033,Nasabah0033,wanita,28,Semarang,Karyawan BUMN,12000000,22788565,Dana pendidikan anak,34,Penabung Disiplin
U0034,Nasabah0034,pria,20,Medan,Guru,12000000,34617017,Dana pensiun,38,Berkembang
U0035,Nasabah0035,wanita,32,Denpasar,Karyawan BUMN,4500000,4346170,Liburan,37,Defisit
U0036,Nasabah0036,pria,31,Jakarta,Freelancer,10000000,15167478,Beli mobil,49,Konsumtif
U0037,Nasabah0037,wanita,20,Makassar,Wiraswasta,10000000,27658980,Liburan,42,Berkembang
U0038,Nasabah0038,pria,34,Bandung,Karyawan BUMN,9000000,19237353,Dana darurat,49,Numpang Lewat
U0039,Nasabah0039,wanita,26,Makassar,Guru,8000000,14495006,Beli rumah,35,Berkembang
U0040,Nasabah0040,pria,30,Bandung,Karyawan swasta,6000000,9740653,Liburan,39,Penabung Disiplin
U0041,Nasabah0041,wanita,40,Surabaya,Freelancer,9000000,22477989,Beli mobil,59,Penabung Disiplin
U0042,Nasabah0042,pria,20,Semarang,Karyawan swasta,5000000,11405614,Beli rumah,23,Penabung Disiplin
U0043,Nasabah0043,wanita,33,Jakarta,Wiraswasta,9000000,25373065,Dana pensiun,51,Penabung Disiplin
U0044,Nasabah0044,pria,40,Surabaya,PNS,12000000,20137828,Dana darurat,43,Numpang Lewat
U0045,Nasabah0045,wanita,29,Medan,Karyawan swasta,10000000,26916215,Beli rumah,45,Konsumtif
U0046,Nasabah0046,pria,28,Yogyakarta,Karyawan BUMN,7000000,6988384,Liburan,48,Berkembang
U0047,Nasabah0047,wanita,23,Bandung,Freelancer,12000000,26117042,Dana pensiun,45,Konsumtif
U0048,Nasabah0048,pria,20,Semarang,Wiraswasta,6000000,6505365,Dana darurat,43,Defisit
U0049,Nasabah0049,wanita,25,Medan,PNS,12000000,38151649,Beli mobil,30,Konsumtif
U0050,Nasabah0050,pria,28,Jakarta,Karyawan BUMN,12000000,34509454,Menikah,36,Penabung Disiplin
U0051,Nasabah0051,wanita,37,Jakarta,Wiraswasta,7000000,13469188,Beli rumah,51,Penabung Disiplin
U0052,Nasabah0052,pria,28,Yogyakarta,Karyawan swasta,12000000,23077723,Liburan,37,Penabung Disiplin
U0053,Nasabah0053,wanita,26,Denpasar,Karyawan BUMN,9000000,22561038,Beli rumah,34,Penabung Disiplin
U0054,Nasabah0054,pria,39,Yogyakarta,Wiraswasta,4500000,3461197,Menikah,57,Defisit
U0055,Nasabah0055,wanita,25,Medan,PNS,12000000,28785784,Menikah,30,Penabung Disiplin
U0056,Nasabah0056,pria,26,Bandung,Freelancer,9000000,25632735,Liburan,47,Penabung Disiplin
U0057,Nasabah0057,wanita,36,Denpasar,Freelancer,10000000,26588909,Dana pendidikan anak,47,Berkembang
U0058,Nasabah0058,pria,39,Jakarta,PNS,12000000,13287295,Beli rumah,43,Numpang Lewat
U0059,Nasabah0059,wanita,24,Jakarta,Karyawan BUMN,4000000,1025282,Beli rumah,42,Defisit
U0060,Nasabah0060,pria,28,Medan,Karyawan BUMN,10000000,15437008,Liburan,46,Berkembang
U0061,Nasabah0061,wanita,39,Yogyakarta,Karyawan BUMN,12000000,18490984,Dana pensiun,52,Numpang Lewat
U0062,Nasabah0062,pria,36,Semarang,Guru,10000000,24853040,Liburan,43,Berkembang
U0063,Nasabah0063,wanita,23,Makassar,Wiraswasta,10000000,23503003,Menikah,36,Berkembang
U0064,Nasabah0064,pria,33,Surabaya,Freelancer,4000000,5713150,Beli mobil,39,Defisit
U0065,Nasabah0065,wanita,33,Jakarta,Karyawan swasta,6000000,10385749,Dana darurat,39,Konsumtif
U0066,Nasabah0066,pria,39,Yogyakarta,Karyawan BUMN,5000000,9915939,Beli mobil,43,Penabung Disiplin
U0067,Nasabah0067,wanita,31,Semarang,Karyawan swasta,6000000,13261741,Dana darurat,46,Penabung Disiplin
U0068,Nasabah0068,pria,32,Semarang,PNS,6000000,7635938,Dana pendidikan anak,43,Berkembang
U0069,Nasabah0069,wanita,38,Surabaya,Karyawan BUMN,10000000,20119838,Dana pendidikan anak,61,Penabung Disiplin
U0070,Nasabah0070,pria,23,Jakarta,Freelancer,4000000,5399198,Beli rumah,45,Berkembang
U0071,Nasabah0071,wanita,20,Denpasar,PNS,8000000,18482082,Beli mobil,44,Penabung Disiplin
U0072,Nasabah0072,pria,47,Medan,Freelancer,6000000,9094845,Dana pendidikan anak,63,Berkembang
U0073,Nasabah0073,wanita,30,Bandung,Karyawan BUMN,12000000,30000816,Beli rumah,43,Penabung Disiplin
U0074,Nasabah0074,pria,40,Denpasar,PNS,10000000,23259258,Beli rumah,50,Berkembang
U0075,Nasabah0075,wanita,20,Yogyakarta,PNS,5000000,3805594,Beli mobil,29,Defisit
U0076,Nasabah0076,pria,30,Yogyakarta,PNS,4000000,8016666,Dana pendidikan anak,46,Penabung Disiplin
U0077,Nasabah0077,wanita,31,Bandung,Wiraswasta,7000000,9092036,Liburan,53,Defisit
U0078,Nasabah0078,pria,25,Makassar,Karyawan swasta,4500000,2756805,Liburan,30,Defisit
U0079,Nasabah0079,wanita,22,Makassar,Wiraswasta,12000000,26045899,Dana pensiun,39,Penabung Disiplin
U0080,Nasabah0080,pria,20,Denpasar,Karyawan BUMN,9000000,16697423,Dana pendidikan anak,23,Berkembang
U0081,Nasabah0081,wanita,35,Surabaya,Karyawan swasta,5000000,7262014,Beli mobil,56,Penabung Disiplin
U0082,Nasabah0082,pria,34,Semarang,Freelancer,8000000,12646384,Dana pendidikan anak,55,Berkembang
U0083,Nasabah0083,wanita,35,Makassar,Wiraswasta,12000000,35087821,Beli rumah,54,Penabung Disiplin
U0084,Nasabah0084,pria,26,Medan,PNS,7000000,16411650,Menikah,35,Berkembang
U0085,Nasabah0085,wanita,23,Semarang,PNS,5000000,8475938,Menikah,42,Berkembang
U0086,Nasabah0086,pria,33,Semarang,Wiraswasta,4000000,6577767,Beli rumah,54,Penabung Disiplin
U0087,Nasabah0087,wanita,20,Makassar,Freelancer,4500000,2312689,Menikah,42,Defisit
U0088,Nasabah0088,pria,22,Yogyakarta,PNS,7000000,19613390,Dana pensiun,44,Konsumtif
U0089,Nasabah0089,wanita,33,Jakarta,Guru,4000000,6082913,Liburan,44,Berkembang
U0090,Nasabah0090,pria,28,Bandung,Guru,8000000,11639079,Beli mobil,48,Berkembang
U0091,Nasabah0091,wanita,25,Surabaya,Freelancer,7000000,4542384,Menikah,29,Defisit
U0092,Nasabah0092,pria,24,Jakarta,PNS,8000000,15081297,Liburan,40,Berkembang
U0093,Nasabah0093,wanita,33,Bandung,Karyawan BUMN,12000000,24775036,Dana pensiun,44,Berkembang
U0094,Nasabah0094,pria,35,Makassar,Wiraswasta,5000000,8423272,Beli rumah,58,Berkembang
U0095,Nasabah0095,wanita,30,Surabaya,PNS,9000000,17981102,Liburan,34,Penabung Disiplin
U0096,Nasabah0096,pria,31,Surabaya,Karyawan swasta,7000000,11607471,Menikah,39,Berkembang
U0097,Nasabah0097,wanita,42,Makassar,Freelancer,10000000,22780159,Dana pensiun,53,Penabung Disiplin
U0098,Nasabah0098,pria,47,Bandung,Freelancer,4000000,2198695,Beli mobil,51,Defisit
U0099,Nasabah0099,wanita,36,Medan,Karyawan swasta,7000000,4272956,Dana pensiun,58,Numpang Lewat
U0100,Nasabah0100,pria,45,Denpasar,Karyawan BUMN,10000000,22195434,Beli rumah,67,Berkembang
U0101,Nasabah0101,wanita,28,Makassar,Freelancer,5000000,5169196,Beli rumah,31,Defisit
U0102,Nasabah0102,pria,27,Denpasar,Karyawan BUMN,4000000,3220307,Menikah,42,Defisit
U0103,Nasabah0103,wanita,23,Yogyakarta,Karyawan swasta,4000000,3437852,Dana pendidikan anak,41,Numpang Lewat
U0104,Nasabah0104,pria,21,Makassar,Wiraswasta,4000000,2660870,Dana pensiun,37,Defisit
U0105,Nasabah0105,wanita,27,Surabaya,PNS,12000000,24489718,Liburan,43,Berkembang
U0106,Nasabah0106,pria,26,Semarang,Wiraswasta,5000000,8639414,Beli rumah,46,Konsumtif
U0107,Nasabah0107,wanita,20,Semarang,Guru,8000000,16298774,Menikah,25,Penabung Disiplin
U0108,Nasabah0108,pria,29,Jakarta,Freelancer,7000000,15388802,Liburan,50,Konsumtif
U0109,Nasabah0109,wanita,20,Semarang,Freelancer,6000000,12687927,Liburan,24,Penabung Disiplin
U0110,Nasabah0110,pria,31,Denpasar,Karyawan swasta,10000000,17170188,Dana pendidikan anak,41,Berkembang
U0111,Nasabah0111,wanita,26,Denpasar,Karyawan swasta,8000000,17326537,Dana darurat,34,Berkembang
U0112,Nasabah0112,pria,28,Makassar,Karyawan BUMN,8000000,22001421,Dana pendidikan anak,42,Penabung Disiplin
U0113,Nasabah0113,wanita,23,Jakarta,Guru,8000000,11713435,Dana pendidikan anak,42,Konsumtif
U0114,Nasabah0114,pria,46,Bandung,Wiraswasta,4500000,10931576,Beli mobil,63,Penabung Disiplin
U0115,Nasabah0115,wanita,32,Jakarta,Karyawan BUMN,12000000,32428729,Liburan,53,Berkembang
U0116,Nasabah0116,pria,31,Semarang,Freelancer,5000000,2430278,Beli mobil,47,Defisit
U0117,Nasabah0117,wanita,37,Makassar,Freelancer,7000000,16816291,Dana pendidikan anak,50,Penabung Disiplin
U0118,Nasabah0118,pria,23,Jakarta,Wiraswasta,6000000,10229666,Dana pendidikan anak,38,Penabung Disiplin
U0119,Nasabah0119,wanita,25,Semarang,Guru,12000000,21568074,Dana darurat,38,Penabung Disiplin
U0120,Nasabah0120,pria,35,Makassar,Freelancer,4000000,2722185,Dana pensiun,45,Defisit
U0121,Nasabah0121,wanita,26,Makassar,Karyawan BUMN,8000000,13019559,Menikah,36,Konsumtif
U0122,Nasabah0122,pria,27,Medan,Wiraswasta,4000000,6003612,Liburan,49,Penabung Disiplin
U0123,Nasabah0123,wanita,30,Surabaya,Karyawan BUMN,4000000,4087255,Dana pensiun,40,Konsumtif
U0124,Nasabah0124,pria,29,Surabaya,Freelancer,9000000,24011905,Beli mobil,45,Konsumtif
U0125,Nasabah0125,wanita,41,Makassar,Freelancer,9000000,6824201,Dana pensiun,56,Numpang Lewat
U0126,Nasabah0126,pria,25,Denpasar,Karyawan BUMN,7000000,12126586,Dana pensiun,48,Berkembang
U0127,Nasabah0127,wanita,34,Semarang,Freelancer,6000000,5343675,Menikah,49,Defisit
U0128,Nasabah0128,pria,24,Bandung,Karyawan swasta,4500000,3649962,Beli rumah,30,Defisit
U0129,Nasabah0129,wanita,41,Jakarta,Karyawan swasta,9000000,19147792,Beli mobil,44,Konsumtif
U0130,Nasabah0130,pria,34,Makassar,Wiraswasta,4000000,3668308,Beli rumah,44,Penabung Disiplin
U0131,Nasabah0131,wanita,20,Semarang,PNS,6000000,5279646,Dana darurat,33,Berkembang
U0132,Nasabah0132,pria,36,Yogyakarta,Karyawan swasta,8000000,3892656,Dana pensiun,60,Numpang Lewat
U0133,Nasabah0133,wanita,39,Medan,PNS,9000000,24222487,Menikah,59,Berkembang
U0134,Nasabah0134,pria,21,Bandung,Guru,7000000,13425815,Liburan,43,Berkembang
U0135,Nasabah0135,wanita,24,Yogyakarta,Guru,4500000,6179982,Menikah,43,Berkembang
U0136,Nasabah0136,pria,30,Denpasar,PNS,9000000,10341409,Menikah,44,Numpang Lewat
U0137,Nasabah0137,wanita,28,Denpasar,Karyawan BUMN,9000000,10713495,Menikah,52,Berkembang
U0138,Nasabah0138,pria,37,Denpasar,Karyawan swasta,9000000,14823334,Liburan,49,Numpang Lewat
U0139,Nasabah0139,wanita,21,Yogyakarta,Wiraswasta,8000000,7408320,Liburan,44,Berkembang
U0140,Nasabah0140,pria,25,Denpasar,Karyawan swasta,12000000,21739797,Dana pensiun,39,Berkembang
U0141,Nasabah0141,wanita,34,Medan,Freelancer,10000000,19114104,Beli mobil,45,Berkembang
U0142,Nasabah0142,pria,28,Medan,Karyawan BUMN,9000000,14520330,Beli mobil,49,Berkembang
U0143,Nasabah0143,wanita,37,Bandung,Guru,10000000,18255249,Dana darurat,42,Numpang Lewat
U0144,Nasabah0144,pria,34,Surabaya,Karyawan BUMN,10000000,26657418,Beli rumah,37,Konsumtif
U0145,Nasabah0145,wanita,34,Makassar,Karyawan BUMN,8000000,10078529,Beli mobil,46,Berkembang
U0146,Nasabah0146,pria,35,Surabaya,Freelancer,10000000,25051438,Dana pendidikan anak,42,Berkembang
U0147,Nasabah0147,wanita,32,Jakarta,Karyawan BUMN,12000000,32128314,Beli mobil,43,Penabung Disiplin
U0148,Nasabah0148,pria,21,Medan,Wiraswasta,4500000,2948614,Beli mobil,27,Defisit
U0149,Nasabah0149,wanita,24,Semarang,PNS,9000000,26101374,Beli mobil,43,Penabung Disiplin
U0150,Nasabah0150,pria,20,Yogyakarta,Karyawan swasta,4500000,6022857,Dana pendidikan anak,30,Konsumtif
U0151,Nasabah0151,wanita,33,Jakarta,Karyawan swasta,6000000,6819927,Dana pensiun,40,Defisit
U0152,Nasabah0152,pria,27,Medan,Karyawan BUMN,4000000,4814181,Dana pensiun,36,Penabung Disiplin
U0153,Nasabah0153,wanita,33,Makassar,Guru,8000000,3159273,Dana pensiun,53,Defisit
U0154,Nasabah0154,pria,26,Jakarta,Karyawan swasta,4500000,5553209,Liburan,32,Berkembang
U0155,Nasabah0155,wanita,24,Surabaya,Karyawan swasta,12000000,31210212,Beli mobil,37,Penabung Disiplin
U0156,Nasabah0156,pria,24,Makassar,Wiraswasta,8000000,19455846,Menikah,34,Berkembang
U0157,Nasabah0157,wanita,20,Denpasar,Freelancer,10000000,19151018,Beli rumah,29,Konsumtif
U0158,Nasabah0158,pria,29,Jakarta,Wiraswasta,4000000,1190288,Beli mobil,33,Defisit
U0159,Nasabah0159,wanita,23,Yogyakarta,PNS,4000000,7609368,Dana pensiun,38,Numpang Lewat
U0160,Nasabah0160,pria,26,Makassar,Freelancer,8000000,11451979,Beli rumah,47,Konsumtif
U0161,Nasabah0161,wanita,33,Yogyakarta,Freelancer,5000000,8316783,Dana pensiun,43,Penabung Disiplin
U0162,Nasabah0162,pria,24,Bandung,PNS,8000000,15933594,Beli rumah,28,Berkembang
U0163,Nasabah0163,wanita,24,Jakarta,Wiraswasta,12000000,31195535,Dana darurat,36,Berkembang
U0164,Nasabah0164,pria,30,Makassar,PNS,4500000,2714256,Dana darurat,37,Defisit
U0165,Nasabah0165,wanita,37,Jakarta,Karyawan BUMN,6000000,2643103,Beli mobil,47,Defisit
U0166,Nasabah0166,pria,27,Surabaya,Karyawan swasta,9000000,12338004,Dana pensiun,51,Numpang Lewat
U0167,Nasabah0167,wanita,40,Jakarta,Wiraswasta,6000000,13267675,Beli mobil,48,Berkembang
U0168,Nasabah0168,pria,23,Jakarta,Freelancer,5000000,11592810,Dana pendidikan anak,29,Penabung Disiplin
U0169,Nasabah0169,wanita,25,Semarang,Wiraswasta,9000000,14302851,Menikah,29,Konsumtif
U0170,Nasabah0170,pria,24,Makassar,Karyawan BUMN,4000000,4368009,Dana pensiun,47,Defisit
U0171,Nasabah0171,wanita,29,Yogyakarta,Karyawan swasta,10000000,30269122,Beli mobil,39,Penabung Disiplin
U0172,Nasabah0172,pria,27,Denpasar,Freelancer,4000000,5816172,Dana darurat,33,Numpang Lewat
U0173,Nasabah0173,wanita,20,Surabaya,PNS,7000000,16929154,Dana pendidikan anak,41,Berkembang
U0174,Nasabah0174,pria,26,Yogyakarta,Freelancer,9000000,16786603,Dana pendidikan anak,38,Berkembang
U0175,Nasabah0175,wanita,28,Denpasar,Karyawan BUMN,8000000,10609199,Dana darurat,40,Berkembang
U0176,Nasabah0176,pria,32,Jakarta,Wiraswasta,6000000,10319332,Beli rumah,36,Defisit
U0177,Nasabah0177,wanita,25,Jakarta,Karyawan swasta,5000000,9196507,Dana pendidikan anak,46,Penabung Disiplin
U0178,Nasabah0178,pria,32,Yogyakarta,Karyawan swasta,10000000,9917283,Beli rumah,43,Berkembang
U0179,Nasabah0179,wanita,41,Jakarta,Karyawan BUMN,10000000,17918420,Dana pensiun,56,Berkembang
U0180,Nasabah0180,pria,31,Bandung,Karyawan swasta,6000000,6767704,Menikah,52,Berkembang
U0181,Nasabah0181,wanita,28,Bandung,Freelancer,5000000,9373341,Beli rumah,35,Penabung Disiplin
U0182,Nasabah0182,pria,26,Bandung,Karyawan BUMN,4500000,5314466,Dana pensiun,50,Penabung Disiplin
U0183,Nasabah0183,wanita,24,Denpasar,PNS,5000000,4001650,Liburan,37,Defisit
U0184,Nasabah0184,pria,37,Makassar,Guru,4000000,7490620,Liburan,54,Konsumtif
U0185,Nasabah0185,wanita,34,Makassar,PNS,12000000,14075085,Liburan,57,Numpang Lewat
U0186,Nasabah0186,pria,26,Denpasar,Karyawan swasta,5000000,6788275,Dana darurat,34,Berkembang
U0187,Nasabah0187,wanita,34,Yogyakarta,Karyawan swasta,6000000,14348309,Beli mobil,37,Penabung Disiplin
U0188,Nasabah0188,pria,32,Medan,Wiraswasta,7000000,13037320,Dana darurat,50,Penabung Disiplin
U0189,Nasabah0189,wanita,31,Semarang,Wiraswasta,4500000,5298195,Dana darurat,52,Penabung Disiplin
U0190,Nasabah0190,pria,37,Yogyakarta,Guru,8000000,17875923,Liburan,45,Penabung Disiplin
U0191,Nasabah0191,wanita,31,Yogyakarta,PNS,8000000,15549053,Beli rumah,51,Penabung Disiplin
U0192,Nasabah0192,pria,43,Bandung,PNS,9000000,22135681,Liburan,46,Penabung Disiplin
U0193,Nasabah0193,wanita,26,Semarang,Karyawan BUMN,4500000,5720852,Beli mobil,47,Konsumtif
U0194,Nasabah0194,pria,20,Bandung,Karyawan swasta,8000000,20634597,Dana pensiun,43,Penabung Disiplin
U0195,Nasabah0195,wanita,25,Yogyakarta,Freelancer,9000000,23837465,Menikah,49,Penabung Disiplin
U0196,Nasabah0196,pria,32,Medan,Karyawan swasta,4000000,3512690,Dana darurat,56,Defisit
U0197,Nasabah0197,wanita,42,Makassar,Guru,6000000,15770403,Beli rumah,61,Penabung Disiplin
U0198,Nasabah0198,pria,31,Surabaya,Freelancer,6000000,9440819,Liburan,44,Berkembang
U0199,Nasabah0199,wanita,38,Yogyakarta,Freelancer,7000000,12211207,Menikah,45,Berkembang
U0200,Nasabah0200,pria,35,Jakarta,Karyawan BUMN,10000000,16790005,Beli rumah,45,Penabung Disiplin
U0201,Nasabah0201,wanita,20,Surabaya,Karyawan BUMN,12000000,24813281,Liburan,37,Berkembang
U0202,Nasabah0202,pria,40,Surabaya,Karyawan swasta,10000000,18474751,Beli mobil,60,Berkembang
U0203,Nasabah0203,wanita,25,Semarang,Guru,9000000,23049152,Menikah,36,Penabung Disiplin
U0204,Nasabah0204,pria,20,Yogyakarta,Guru,4500000,8792456,Dana darurat,36,Penabung Disiplin
U0205,Nasabah0205,wanita,27,Yogyakarta,Guru,6000000,10720692,Dana pendidikan anak,44,Penabung Disiplin
U0206,Nasabah0206,pria,38,Bandung,PNS,4000000,2474564,Dana pendidikan anak,59,Defisit
U0207,Nasabah0207,wanita,29,Makassar,Karyawan BUMN,4000000,1851038,Dana pendidikan anak,43,Defisit
U0208,Nasabah0208,pria,20,Denpasar,Freelancer,7000000,15993928,Dana pensiun,28,Numpang Lewat
U0209,Nasabah0209,wanita,33,Semarang,PNS,12000000,31586184,Dana darurat,39,Konsumtif
U0210,Nasabah0210,pria,34,Yogyakarta,Karyawan BUMN,6000000,6919384,Beli mobil,51,Berkembang
U0211,Nasabah0211,wanita,20,Denpasar,Freelancer,6000000,13566595,Menikah,40,Konsumtif
U0212,Nasabah0212,pria,23,Bandung,PNS,4000000,2667182,Dana pensiun,44,Defisit
U0213,Nasabah0213,wanita,23,Jakarta,Karyawan BUMN,10000000,18029001,Menikah,38,Numpang Lewat
U0214,Nasabah0214,pria,28,Denpasar,Guru,10000000,22487083,Dana pendidikan anak,38,Konsumtif
U0215,Nasabah0215,wanita,45,Semarang,Freelancer,6000000,9639505,Beli rumah,50,Berkembang
U0216,Nasabah0216,pria,36,Jakarta,Karyawan swasta,4000000,3793810,Beli mobil,48,Berkembang
U0217,Nasabah0217,wanita,20,Surabaya,Karyawan swasta,6000000,9758471,Dana pensiun,33,Berkembang
U0218,Nasabah0218,pria,23,Medan,PNS,12000000,30752140,Beli mobil,27,Penabung Disiplin
U0219,Nasabah0219,wanita,20,Jakarta,PNS,8000000,11173271,Dana pendidikan anak,33,Penabung Disiplin
U0220,Nasabah0220,pria,35,Yogyakarta,Freelancer,8000000,7126019,Dana pensiun,38,Defisit
U0221,Nasabah0221,wanita,32,Bandung,Karyawan swasta,12000000,23987845,Dana pendidikan anak,35,Berkembang
U0222,Nasabah0222,pria,33,Semarang,Freelancer,8000000,9711001,Beli mobil,44,Numpang Lewat
U0223,Nasabah0223,wanita,39,Jakarta,Guru,12000000,26942012,Beli mobil,54,Konsumtif
U0224,Nasabah0224,pria,35,Yogyakarta,Karyawan BUMN,4500000,2953911,Dana pensiun,46,Defisit
U0225,Nasabah0225,wanita,24,Semarang,Wiraswasta,6000000,8730211,Dana darurat,39,Konsumtif
U0226,Nasabah0226,pria,28,Jakarta,Wiraswasta,7000000,8868905,Beli mobil,51,Berkembang
U0227,Nasabah0227,wanita,33,Yogyakarta,Karyawan BUMN,4000000,8133880,Dana darurat,55,Penabung Disiplin
U0228,Nasabah0228,pria,38,Yogyakarta,Guru,12000000,33787055,Menikah,55,Konsumtif
U0229,Nasabah0229,wanita,22,Surabaya,PNS,12000000,31651729,Dana pensiun,30,Konsumtif
U0230,Nasabah0230,pria,20,Makassar,Karyawan swasta,5000000,7423717,Dana darurat,42,Penabung Disiplin
U0231,Nasabah0231,wanita,41,Surabaya,Guru,7000000,17569045,Dana pendidikan anak,56,Penabung Disiplin
U0232,Nasabah0232,pria,31,Denpasar,Freelancer,10000000,18876585,Dana darurat,43,Berkembang
U0233,Nasabah0233,wanita,36,Denpasar,Karyawan BUMN,8000000,15497306,Menikah,42,Berkembang
U0234,Nasabah0234,pria,37,Medan,Freelancer,6000000,5944980,Beli mobil,46,Berkembang
U0235,Nasabah0235,wanita,23,Surabaya,Karyawan BUMN,5000000,6100864,Beli rumah,37,Defisit
U0236,Nasabah0236,pria,26,Semarang,Guru,5000000,8820431,Beli rumah,47,Berkembang
U0237,Nasabah0237,wanita,34,Yogyakarta,Karyawan swasta,6000000,4989833,Dana darurat,49,Berkembang
U0238,Nasabah0238,pria,28,Yogyakarta,Guru,10000000,27085298,Beli rumah,47,Berkembang
U0239,Nasabah0239,wanita,21,Makassar,Karyawan BUMN,12000000,24205701,Liburan,25,Penabung Disiplin
U0240,Nasabah0240,pria,24,Jakarta,PNS,7000000,9325354,Dana pensiun,45,Defisit
U0241,Nasabah0241,wanita,25,Surabaya,Karyawan swasta,10000000,20362381,Dana pendidikan anak,43,Berkembang
U0242,Nasabah0242,pria,31,Semarang,Karyawan swasta,4500000,3270913,Liburan,49,Defisit
U0243,Nasabah0243,wanita,26,Yogyakarta,PNS,10000000,17711828,Dana pendidikan anak,45,Numpang Lewat
U0244,Nasabah0244,pria,40,Semarang,Karyawan BUMN,8000000,16378799,Beli mobil,56,Numpang Lewat
U0245,Nasabah0245,wanita,29,Medan,Freelancer,10000000,25468797,Dana pendidikan anak,41,Penabung Disiplin
U0246,Nasabah0246,pria,31,Yogyakarta,Freelancer,5000000,4344490,Dana pensiun,42,Defisit
U0247,Nasabah0247,wanita,33,Medan,Karyawan BUMN,9000000,26257189,Liburan,52,Konsumtif
U0248,Nasabah0248,pria,31,Makassar,Guru,7000000,8665783,Menikah,53,Berkembang
U0249,Nasabah0249,wanita,40,Yogyakarta,Karyawan swasta,12000000,23225520,Liburan,52,Berkembang
U0250,Nasabah0250,pria,28,Denpasar,Karyawan BUMN,10000000,21020457,Liburan,52,Konsumtif
U0251,Nasabah0251,wanita,20,Medan,Wiraswasta,6000000,11546782,Dana pensiun,26,Konsumtif
U0252,Nasabah0252,pria,37,Semarang,PNS,10000000,24462009,Dana pendidikan anak,46,Penabung Disiplin
U0253,Nasabah0253,wanita,23,Medan,Wiraswasta,12000000,23324087,Dana darurat,39,Numpang Lewat
