trx_id,user_id,tanggal_waktu,arah,kategori,merchant_id,merchant_nama,metode,tujuan,nominal,saldo_setelah
T000686,U0006,2026-07-25 08:20:00,masuk,Gaji,,,Transfer,BNI,4500000,4500000
T000688,U0006,2026-07-25 10:43:00,keluar,Kopi,M003,Kopi Titik,QRIS,Merchant,17851,4482149
T000689,U0006,2026-07-25 11:27:00,keluar,Makan,M005,Warung Bu Sri,QRIS,Merchant,29613,4452536
T000687,U0006,2026-07-25 18:04:00,keluar,Top Up E-Wallet,,,Transfer,E-Wallet,1237307,3215229
T000690,U0006,2026-07-26 11:04:00,keluar,Makan,M004,Nasi Bunda,QRIS,Merchant,21632,3193597
T000691,U0006,2026-07-26 16:44:00,keluar,Transportasi,M006,JalanYuk,QRIS,Merchant,29276,3164321
T000692,U0006,2026-07-27 12:10:00,keluar,Makan,M004,Nasi Bunda,QRIS,Merchant,26101,3138220
T000693,U0006,2026-07-27 16:07:00,keluar,Transportasi,M006,JalanYuk,QRIS,Merchant,26006,3112214
T000694,U0006,2026-07-28 12:20:00,keluar,Makan,M004,Nasi Bunda,QRIS,Merchant,23089,3089125
T000695,U0006,2026-07-28 14:11:00,keluar,Transportasi,M006,JalanYuk,QRIS,Merchant,28580,3060545
T000696,U0006,2026-07-29 12:41:00,keluar,Makan,M005,Warung Bu Sri,Debit,Merchant,29104,3031441
T000697,U0006,2026-07-29 18:15:00,keluar,Transportasi,M006,JalanYuk,QRIS,Merchant,26756,3004685
T000698,U0006,2026-07-30 08:16:00,keluar,Kopi,M001,Kopi Kawan,QRIS,Merchant,15404,2989281
T000699,U0006,2026-07-30 19:46:00,keluar,Transportasi,M006,JalanYuk,QRIS,Merchant,24231,2965050
T000700,U0006,2026-07-31 13:59:00,keluar,Makan,M005,Warung Bu Sri,Debit,Merchant,21838,2943212
T000701,U0006,2026-07-31 14:25:00,keluar,Belanja Online,M007,TokoRia,Debit,Merchant,95594,2847618
T000702,U0006,2026-08-01 08:03:00,keluar,Kopi,M002,Ruang Seduh,QRIS,Merchant,16736,2830882
T000704,U0006,2026-08-01 12:19:00,keluar,Belanja Online,M007,TokoRia,Debit,Merchant,101268,2729614
T000703,U0006,2026-08-01 13:43:00,keluar,Makan,M004,Nasi Bunda,Debit,Merchant,21814,2707800
T000705,U0006,2026-08-03 08:49:00,keluar,Tagihan,,Tagihan Listrik & Internet,Autodebet,Merchant,1135233,1572567
T000706,U0006,2026-08-03 08:49:00,keluar,Cicilan,,Cicilan,Autodebet,Merchant,1493938,78628
T000707,U0006,2026-08-03 08:57:00,keluar,Kopi,M001,Kopi Kawan,QRIS,Merchant,16576,62052
T000708,U0006,2026-08-03 13:03:00,keluar,Makan,M004,Nasi Bunda,QRIS,Merchant,26349,35703
T000709,U0006,2026-08-03 22:01:00,keluar,Belanja Online,M007,TokoRia,Debit,Merchant,33918,1785
T000710,U0006,2026-08-04 09:30:00,keluar,Kopi,M003,Kopi Titik,QRIS,Merchant,1695,89
T000711,U0006,2026-08-04 13:55:00,keluar,Makan,M005,Warung Bu Sri,QRIS,Merchant,84,4
T000713,U0006,2026-08-04 14:28:00,keluar,Belanja Online,M007,TokoRia,Debit,Merchant,4,0
T000712,U0006,2026-08-04 21:34:00,keluar,Transportasi,M006,JalanYuk,QRIS,Merchant,0,0
T000714,U0006,2026-08-05 20:57:00,keluar,Hiburan,M008,Bioskop Nusantara,QRIS,Merchant,0,0
T000715,U0006,2026-08-05 22:22:00,keluar,Belanja Online,M007,TokoRia,Debit,Merchant,0,0
T000716,U0006,2026-08-06 14:08:00,keluar,Makan,M005,Warung Bu Sri,QRIS,Merchant,0,0
T000717,U0006,2026-08-06 16:02:00,keluar,Transportasi,M006,JalanYuk,QRIS,Merchant,0,0
T000718,U0006,2026-08-07 07:18:00,keluar,Kopi,M001,Kopi Kawan,QRIS,Merchant,0,0
T000719,U0006,2026-08-07 13:21:00,keluar,Makan,M005,Warung Bu Sri,QRIS,Merchant,0,0
T000721,U0006,2026-08-08 08:46:00,keluar,Transportasi,M006,JalanYuk,QRIS,Merchant,0,0
T000720,U0006,2026-08-08 11:17:00,keluar,Makan,M005,Warung Bu Sri,Debit,Merchant,0,0
T000722,U0006,2026-08-09 14:46:00,keluar,Makan,M005,Warung Bu Sri,Debit,Merchant,0,0
T000723,U0006,2026-08-09 15:29:00,keluar,Transportasi,M006,JalanYuk,QRIS,Merchant,0,0
T000724,U0006,2026-08-09 15:51:00,keluar,Hiburan,M008,Bioskop Nusantara,QRIS,Merchant,0,0
T000725,U0006,2026-08-09 20:10:00,keluar,Belanja Online,M007,TokoRia,Debit,Merchant,0,0
T000726,U0006,2026-08-10 14:01:00,keluar,Makan,M004,Nasi Bunda,QRIS,Merchant,0,0
T000727,U0006,2026-08-10 16:15:00,keluar,Transportasi,M006,JalanYuk,QRIS,Merchant,0,0
T000728,U0006,2026-08-10 19:15:00,keluar,Belanja Online,M007,TokoRia,Debit,Merchant,0,0
T000729,U0006,2026-08-11 12:11:00,keluar,Makan,M005,Warung Bu Sri,QRIS,Merchant,0,0
T000730,U0006,2026-08-11 15:58:00,keluar,Transportasi,M006,JalanYuk,QRIS,Merchant,0,0
T000731,U0006,2026-08-12 08:39:00,keluar,Kopi,M003,Kopi Titik,QRIS,Merchant,0,0
T000732,U0006,2026-08-12 11:16:00,keluar,Makan,M004,Nasi Bunda,Debit,Merchant,0,0
T000733,U0006,2026-08-12 18:28:00,keluar,Hiburan,M008,Bioskop Nusantara,QRIS,Merchant,0,0
T000734,U0006,2026-08-13 08:06:00,keluar,Kopi,M002,Ruang Seduh,QRIS,Merchant,0,0
T000735,U0006,2026-08-13 11:02:00,keluar,Makan,M004,Nasi Bunda,Debit,Merchant,0,0
T000736,U0006,2026-08-13 18:41:00,keluar,Transportasi,M006,JalanYuk,QRIS,Merchant,0,0
T000738,U0006,2026-08-14 09:29:00,keluar,Transportasi,M006,JalanYuk,QRIS,Merchant,0,0
T000737,U0006,2026-08-14 14:01:00,keluar,Makan,M004,Nasi Bunda,Debit,Merchant,0,0
T000739,U0006,2026-08-14 23:53:00,keluar,Belanja Online,M007,TokoRia,Debit,Merchant,0,0
T000740,U0006,2026-08-15 12:50:00,keluar,Transportasi,M006,JalanYuk,QRIS,Merchant,0,0
T000742,U0006,2026-08-16 11:57:00,keluar,Transportasi,M006,JalanYuk,QRIS,Merchant,0,0
T000741,U0006,2026-08-16 12:17:00,keluar,Makan,M005,Warung Bu Sri,Debit,Merchant,0,0
T000743,U0006,2026-08-16 18:41:00,keluar,Belanja Online,M007,TokoRia,Debit,Merchant,0,0
T000744,U0006,2026-08-17 08:30:00,keluar,Kopi,M002,Ruang Seduh,QRIS,Merchant,0,0
T000745,U0006,2026-08-17 13:18:00,keluar,Makan,M004,Nasi Bunda,Debit,Merchant,0,0
T000746,U0006,2026-08-17 15:01:00,keluar,Transportasi,M006,JalanYuk,QRIS,Merchant,0,0
T000747,U0006,2026-08-18 13:23:00,keluar,Makan,M004,Nasi Bunda,QRIS,Merchant,0,0
T000748,U0006,2026-08-18 14:11:00,keluar,Hiburan,M008,Bioskop Nusantara,QRIS,Merchant,0,0
T000750,U0006,2026-08-19 08:25:00,keluar,Transportasi,M006,JalanYuk,QRIS,Merchant,0,0
T000749,U0006,2026-08-19 11:41:00,keluar,Makan,M005,Warung Bu Sri,Debit,Merchant,0,0
T000751,U0006,2026-08-19 15:11:00,keluar,Hiburan,M008,Bioskop Nusantara,QRIS,Merchant,0,0
T000752,U0006,2026-08-20 14:53:00,keluar,Makan,M005,Warung Bu Sri,QRIS,Merchant,0,0
T000753,U0006,2026-08-21 10:40:00,keluar,Kopi,M001,Kopi Kawan,QRIS,Merchant,0,0
T000755,U0006,2026-08-21 14:15:00,keluar,Transportasi,M006,JalanYuk,QRIS,Merchant,0,0
T000754,U0006,2026-08-21 14:44:00,keluar,Makan,M005,Warung Bu Sri,Debit,Merchant,0,0
T000756,U0006,2026-08-22 07:09:00,keluar,Kopi,M002,Ruang Seduh,QRIS,Merchant,0,0
T000757,U0006,2026-08-22 13:59:00,keluar,Makan,M005,Warung Bu Sri,Debit,Merchant,0,0
T000758,U0006,2026-08-23 14:36:00,keluar,Makan,M004,Nasi Bunda,QRIS,Merchant,0,0
T000759,U0006,2026-08-23 15:45:00,keluar,Transportasi,M006,JalanYuk,QRIS,Merchant,0,0
T000760,U0006,2026-08-24 12:35:00,keluar,Makan,M005,Warung Bu Sri,Debit,Merchant,0,0
T000761,U0006,2026-08-25 08:44:00,masuk,Gaji,,,Transfer,BNI,4500000,4500000
T000763,U0006,2026-08-25 09:15:00,keluar,Kopi,M001,Kopi Kawan,QRIS,Merchant,14487,4485513
T000764,U0006,2026-08-25 13:13:00,keluar,Makan,M005,Warung Bu Sri,QRIS,Merchant,25174,4460339
T000765,U0006,2026-08-26 10:14:00,keluar,Kopi,M002,Ruang Seduh,QRIS,Merchant,13680,4446659
T000766,U0006,2026-08-26 13:22:00,keluar,Belanja Online,M007,TokoRia,Debit,Merchant,108346,4338313
T000762,U0006,2026-08-26 14:02:00,keluar,Top Up E-Wallet,,,Transfer,E-Wallet,1237307,3101006
T000767,U0006,2026-08-27 11:30:00,keluar,Makan,M004,Nasi Bunda,QRIS,Merchant,23941,3077065
T000768,U0006,2026-08-27 19:22:00,keluar,Transportasi,M006,JalanYuk,QRIS,Merchant,31883,3045182
T000769,U0006,2026-08-28 11:30:00,keluar,Makan,M004,Nasi Bunda,Debit,Merchant,24531,3020651
T000770,U0006,2026-08-28 14:07:00,keluar,Transportasi,M006,JalanYuk,QRIS,Merchant,23725,2996926
T000771,U0006,2026-08-28 20:38:00,keluar,Belanja Online,M007,TokoRia,Debit,Merchant,118605,2878321
T000773,U0006,2026-08-29 10:46:00,keluar,Transportasi,M006,JalanYuk,QRIS,Merchant,26255,2852066
T000772,U0006,2026-08-29 14:34:00,keluar,Makan,M005,Warung Bu Sri,QRIS,Merchant,29802,2822264
T000774,U0006,2026-08-30 13:59:00,keluar,Makan,M004,Nasi Bunda,QRIS,Merchant,21937,2800327
T000775,U0006,2026-08-31 13:44:00,keluar,Makan,M005,Warung Bu Sri,Debit,Merchant,28658,2771669
T000776,U0006,2026-09-01 14:07:00,keluar,Makan,M005,Warung Bu Sri,QRIS,Merchant,30546,2741123
T000778,U0006,2026-09-01 15:47:00,keluar,Hiburan,M008,Bioskop Nusantara,QRIS,Merchant,75212,2665911
T000777,U0006,2026-09-01 16:12:00,keluar,Transportasi,M006,JalanYuk,QRIS,Merchant,28781,2637130
T000780,U0006,2026-09-02 11:45:00,keluar,Transportasi,M006,JalanYuk,QRIS,Merchant,29429,2607701
T000779,U0006,2026-09-02 12:26:00,keluar,Makan,M005,Warung Bu Sri,QRIS,Merchant,30227,2577474
T000781,U0006,2026-09-02 12:39:00,keluar,Belanja Online,M007,TokoRia,Debit,Merchant,101034,2476440
T000784,U0006,2026-09-03 07:03:00,keluar,Kopi,M003,Kopi Titik,QRIS,Merchant,14304,2462136
T000782,U0006,2026-09-03 09:53:00,keluar,Tagihan,,Tagihan Listrik & Internet,Autodebet,Merchant,1329397,1132739
T000783,U0006,2026-09-03 09:53:00,keluar,Cicilan,,Cicilan,Autodebet,Merchant,1076102,56636
T000785,U0006,2026-09-03 14:42:00,keluar,Makan,M005,Warung Bu Sri,QRIS,Merchant,30320,26316
T000786,U0006,2026-09-04 12:03:00,keluar,Makan,M005,Warung Bu Sri,Debit,Merchant,24696,1620
T000787,U0006,2026-09-04 16:27:00,keluar,Transportasi,M006,JalanYuk,QRIS,Merchant,1539,81
T000788,U0006,2026-09-04 21:42:00,keluar,Belanja Online,M007,TokoRia,Debit,Merchant,76,4
T000789,U0006,2026-09-05 07:18:00,keluar,Kopi,M002,Ruang Seduh,QRIS,Merchant,3,0
T000790,U0006,2026-09-05 12:27:00,keluar,Makan,M004,Nasi Bunda,QRIS,Merchant,0,0
T000791,U0006,2026-09-05 18:44:00,keluar,Transportasi,M006,JalanYuk,QRIS,Merchant,0,0
T000792,U0006,2026-09-06 07:53:00,keluar,Kopi,M003,Kopi Titik,QRIS,Merchant,0,0
T000793,U0006,2026-09-06 11:41:00,keluar,Makan,M004,Nasi Bunda,QRIS,Merchant,0,0
T000794,U0006,2026-09-06 15:09:00,keluar,Transportasi,M006,JalanYuk,QRIS,Merchant,0,0
T000795,U0006,2026-09-06 20:51:00,keluar,Belanja Online,M007,TokoRia,Debit,Merchant,0,0
T000796,U0006,2026-09-07 10:16:00,keluar,Kopi,M002,Ruang Seduh,QRIS,Merchant,0,0
T000797,U0006,2026-09-07 11:06:00,keluar,Makan,M005,Warung Bu Sri,Debit,Merchant,0,0
T000798,U0006,2026-09-08 14:13:00,keluar,Makan,M004,Nasi Bunda,QRIS,Merchant,0,0
T000799,U0006,2026-09-09 07:38:00,keluar,Kopi,M001,Kopi Kawan,QRIS,Merchant,0,0
T000800,U0006,2026-09-09 11:03:00,keluar,Makan,M004,Nasi Bunda,QRIS,Merchant,0,0
T000801,U0006,2026-09-10 09:00:00,keluar,Kopi,M003,Kopi Titik,QRIS,Merchant,0,0
T000802,U0006,2026-09-10 11:05:00,keluar,Transportasi,M006,JalanYuk,QRIS,Merchant,0,0
T000803,U0006,2026-09-11 15:32:00,keluar,Transportasi,M006,JalanYuk,QRIS,Merchant,0,0
T000806,U0006,2026-09-12 07:02:00,keluar,Transportasi,M006,JalanYuk,QRIS,Merchant,0,0
T000804,U0006,2026-09-12 07:11:00,keluar,Kopi,M002,Ruang Seduh,QRIS,Merchant,0,0
T000805,U0006,2026-09-12 11:14:00,keluar,Makan,M005,Warung Bu Sri,QRIS,Merchant,0,0
T000807,U0006,2026-09-13 16:03:00,keluar,Transportasi,M006,JalanYuk,QRIS,Merchant,0,0
T000808,U0006,2026-09-14 10:05:00,keluar,Kopi,M002,Ruang Seduh,QRIS,Merchant,0,0
T000809,U0006,2026-09-14 13:58:00,keluar,Makan,M004,Nasi Bunda,QRIS,Merchant,0,0
T000810,U0006,2026-09-15 11:22:00,keluar,Makan,M005,Warung Bu Sri,QRIS,Merchant,0,0
T000811,U0006,2026-09-16 13:09:00,keluar,Makan,M004,Nasi Bunda,QRIS,Merchant,0,0
T000812,U0006,2026-09-16 20:37:00,keluar,Transportasi,M006,JalanYuk,QRIS,Merchant,0,0
T000814,U0006,2026-09-17 08:47:00,keluar,Transportasi,M006,JalanYuk,QRIS,Merchant,0,0
T000813,U0006,2026-09-17 13:20:00,keluar,Makan,M005,Warung Bu Sri,QRIS,Merchant,0,0
T000815,U0006,2026-09-17 16:14:00,keluar,Belanja Online,M007,TokoRia,Debit,Merchant,0,0
T000816,U0006,2026-09-18 17:00:00,keluar,Transportasi,M006,JalanYuk,QRIS,Merchant,0,0
T000817,U0006,2026-09-20 13:05:00,keluar,Makan,M004,Nasi Bunda,Debit,Merchant,0,0
T000818,U0006,2026-09-20 18:42:00,keluar,Transportasi,M006,JalanYuk,QRIS,Merchant,0,0
T000819,U0006,2026-09-20 21:27:00,keluar,Hiburan,M008,Bioskop Nusantara,QRIS,Merchant,0,0
T000820,U0006,2026-09-21 14:32:00,keluar,Makan,M005,Warung Bu Sri,Debit,Merchant,0,0
T000821,U0006,2026-09-21 15:07:00,keluar,Transportasi,M006,JalanYuk,QRIS,Merchant,0,0
T000822,U0006,2026-09-21 22:12:00,keluar,Belanja Online,M007,TokoRia,Debit,Merchant,0,0
T000823,U0006,2026-09-22 09:17:00,keluar,Kopi,M002,Ruang Seduh,QRIS,Merchant,0,0
T000824,U0006,2026-09-22 13:11:00,keluar,Makan,M005,Warung Bu Sri,QRIS,Merchant,0,0
T000825,U0006,2026-09-22 16:18:00,keluar,Transportasi,M006,JalanYuk,QRIS,Merchant,0,0
T000827,U0006,2026-09-23 08:17:00,keluar,Transportasi,M006,JalanYuk,QRIS,Merchant,0,0
T000826,U0006,2026-09-23 11:50:00,keluar,Makan,M004,Nasi Bunda,Debit,Merchant,0,0
T000828,U0006,2026-09-24 10:48:00,keluar,Kopi,M003,Kopi Titik,QRIS,Merchant,0,0
T000829,U0006,2026-09-25 09:22:00,masuk,Gaji,,,Transfer,BNI,4500000,4500000
T000831,U0006,2026-09-25 19:54:00,keluar,Hiburan,M008,Bioskop Nusantara,QRIS,Merchant,91869,4408131
T000832,U0006,2026-09-26 07:05:00,keluar,Kopi,M001,Kopi Kawan,QRIS,Merchant,15385,4392746
T000833,U0006,2026-09-26 13:22:00,keluar,Makan,M004,Nasi Bunda,Debit,Merchant,26686,4366060
T000830,U0006,2026-09-26 14:15:00,keluar,Top Up E-Wallet,,,Transfer,E-Wallet,1237307,3128753
T000834,U0006,2026-09-26 20:32:00,keluar,Transportasi,M006,JalanYuk,QRIS,Merchant,30078,3098675
T000835,U0006,2026-09-27 09:39:00,keluar,Kopi,M003,Kopi Titik,QRIS,Merchant,14726,3083949
T000836,U0006,2026-09-27 14:26:00,keluar,Makan,M005,Warung Bu Sri,Debit,Merchant,23307,3060642
T000838,U0007,2026-06-30 06:59:00,keluar,Transportasi,M006,JalanYuk,QRIS,Merchant,23898,2292954
T000837,U0007,2026-06-30 14:44:00,keluar,Makan,M004,Nasi Bunda,Debit,Merchant,27392,2265562
T000839,U0007,2026-07-02 14:39:00,keluar,Makan,M005,Warung Bu Sri,QRIS,Merchant,27310,2238252
T000842,U0007,2026-07-03 08:29:00,keluar,Kopi,M002,Ruang Seduh,QRIS,Merchant,23217,2215035
T000840,U0007,2026-07-03 09:40:00,keluar,Tagihan,,Tagihan Listrik & Internet,Autodebet,Merchant,700500,1514535
T000841,U0007,2026-07-03 09:40:00,keluar,Cicilan,,Cicilan,Autodebet,Merchant,1018614,495921
T000843,U0007,2026-07-03 14:08:00,keluar,Makan,M005,Warung Bu Sri,QRIS,Merchant,31661,464260
T000844,U0007,2026-07-04 09:56:00,keluar,Kopi,M003,Kopi Titik,QRIS,Merchant,24682,439578
T000845,U0007,2026-07-04 13:17:00,keluar,Makan,M005,Warung Bu Sri,Debit,Merchant,35077,404501
T000847,U0007,2026-07-04 15:47:00,keluar,Hiburan,M008,Bioskop Nusantara,QRIS,Merchant,55122,349379
T000846,U0007,2026-07-04 18:09:00,keluar,Transportasi,M006,JalanYuk,QRIS,Merchant,24875,324504
T000848,U0007,2026-07-04 23:52:00,keluar,Belanja Online,M007,TokoRia,Debit,Merchant,54634,269870
T000849,U0007,2026-07-05 14:12:00,keluar,Makan,M005,Warung Bu Sri,QRIS,Merchant,32512,237358
T000850,U0007,2026-07-06 14:38:00,keluar,Makan,M005,Warung Bu Sri,QRIS,Merchant,25327,212031
T000851,U0007,2026-07-07 07:44:00,keluar,Kopi,M003,Kopi Titik,QRIS,Merchant,22848,189183
T000852,U0007,2026-07-07 14:41:00,keluar,Makan,M004,Nasi Bunda,QRIS,Merchant,33135,156048
T000853,U0007,2026-07-07 16:53:00,keluar,Transportasi,M006,JalanYuk,QRIS,Merchant,26056,129992
T000854,U0007,2026-07-08 09:15:00,keluar,Kopi,M002,Ruang Seduh,QRIS,Merchant,24048,105944
T000855,U0007,2026-07-09 08:35:00,keluar,Kopi,M003,Kopi Titik,QRIS,Merchant,20325,85619
T000856,U0007,2026-07-09 14:46:00,keluar,Makan,M004,Nasi Bunda,Debit,Merchant,27559,58060
T000857,U0007,2026-07-09 21:51:00,keluar,Transportasi,M006,JalanYuk,QRIS,Merchant,27998,30062
T000858,U0007,2026-07-10 11:23:00,keluar,Transportasi,M006,JalanYuk,QRIS,Merchant,23626,6436
T000859,U0007,2026-07-11 10:10:00,keluar,Kopi,M002,Ruang Seduh,QRIS,Merchant,6114,321
T000860,U0007,2026-07-11 14:02:00,keluar,Makan,M005,Warung Bu Sri,QRIS,Merchant,305,16
T000861,U0007,2026-07-11 18:55:00,keluar,Hiburan,M008,Bioskop Nusantara,QRIS,Merchant,15,0
T000862,U0007,2026-07-12 13:06:00,keluar,Makan,M005,Warung Bu Sri,Debit,Merchant,0,0
T000864,U0007,2026-07-13 12:40:00,keluar,Transportasi,M006,JalanYuk,QRIS,Merchant,0,0
T000863,U0007,2026-07-13 13:26:00,keluar,Makan,M005,Warung Bu Sri,QRIS,Merchant,0,0
T000865,U0007,2026-07-14 13:16:00,keluar,Makan,M004,Nasi Bunda,Debit,Merchant,0,0
T000867,U0007,2026-07-15 07:49:00,keluar,Transportasi,M006,JalanYuk,QRIS,Merchant,0,0
T000866,U0007,2026-07-15 11:30:00,keluar,Makan,M004,Nasi Bunda,QRIS,Merchant,0,0
T000868,U0007,2026-07-16 20:02:00,keluar,Transportasi,M006,JalanYuk,QRIS,Merchant,0,0
T000869,U0007,2026-07-17 12:51:00,keluar,Makan,M005,Warung Bu Sri,Debit,Merchant,0,0
T000870,U0007,2026-07-18 13:30:00,keluar,Makan,M004,Nasi Bunda,QRIS,Merchant,0,0
T000871,U0007,2026-07-18 16:53:00,keluar,Transportasi,M006,JalanYuk,QRIS,Merchant,0,0
T000872,U0007,2026-07-19 11:21:00,keluar,Makan,M004,Nasi Bunda,Debit,Merchant,0,0
T000873,U0007,2026-07-20 10:20:00,keluar,Kopi,M002,Ruang Seduh,QRIS,Merchant,0,0
T000874,U0007,2026-07-20 13:24:00,keluar,Makan,M004,Nasi Bunda,Debit,Merchant,0,0
T000875,U0007,2026-07-20 20:08:00,keluar,Hiburan,M008,Bioskop Nusantara,QRIS,Merchant,0,0
T000878,U0007,2026-07-21 06:23:00,keluar,Transportasi,M006,JalanYuk,QRIS,Merchant,0,0
T000876,U0007,2026-07-21 10:21:00,keluar,Kopi,M002,Ruang Seduh,QRIS,Merchant,0,0
T000877,U0007,2026-07-21 13:45:00,keluar,Makan,M005,Warung Bu Sri,Debit,Merchant,0,0
